title,uri,description,listing_id,industry,location,source,date,image,permanent_id
AAB,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JferIAC,"... , ESG, Corporate Finance, Hotel Accounting, Payroll & Employment, Private Client, Tax, and Virtual Finance services globally from offices in the United Kingdom, Ireland and United States.",30b4e117-937f-4cd3-bf54-9d73661a5730,,,SalesforcePublic,1.77462E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/32902969-e9fb-4bbc-8396-17d354bb09d9-1721916476,fa10b025531619542f1af7bf1cad5f96ff6246ef
Bright Sterling,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JfIVIA0,"At Bright Sterling, our team of accountants work with a wide variety of businesses across United Kingdom.",e6ddb2a7-ac05-426a-8d62-6dc317312541,,,SalesforcePublic,1.77268E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/db1eae26-3acf-4eb9-b998-1f137a988747-1506534276,8ce20d3ad30e8f2dd7ec3351548f3ad364c05438
RCH Chartered Accountants,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000Jgu5IAC,"RCH Chartered Accountants are based in Mid Wales with three offices in Llandrindod Wells, Llanidloes and Newtown but work with clients all across the United Kingdom.",df3b6919-7f3e-444a-b6bc-951ab1d5aa00,,,SalesforcePublic,1.77268E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/d1414555-be83-4b17-83ad-355018c8b3b9-1722251667,65410f13c4ac2e1f42d89c50c9c47e0b3fad6572
Ambient Accounting Ltd,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000I9pdIAC,"We look after the accountancy, tax planning and business advisory needs of clients as individuals and businesses throughout the United Kingdom.",05ed70cf-5dbb-4d86-b489-2f93500257e3,,,SalesforcePublic,1.77268E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/98123de8-d2a1-43b4-b3c8-98f177a2f5cd-1626089783,e6089c3f5cb93f80214ec9fa8a9050b6103b3b05
Henry Brown & Co,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JiBdIAK,Based in Kilmarnock but with clients the length and breadth of the United Kingdom we aim to provide a complete solution for our clients.,98472b0d-e240-472b-8a19-ded1da0ce3e5,,,SalesforcePublic,1.77268E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/92f98110-c780-4e5d-9dd1-3e5643a0b96f-1525177189,4b7efdf4b0e5d75ccb38939e53640b3e5c5ba3e4
Mills Pyatt Chartered Accountants,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JfpSIAS,... registered at Companies House in England & Wales No: 13221264 and also registered by the Institute of Chartered Accountants in England and Wales to carry on audit work in the United Kingdom.,af33379c-8947-40a9-9afc-b29caa152c85,,,SalesforcePublic,1.77268E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/a633f91e-0041-4056-8022-f984f9eb39e8-1657629502,8a3cab9083fc64d91e66f0462355f9a09efd3e77
Ian Macfarlane LImited,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JewKIAS,We have been in business since 1971 assisting clients in the Falkirk area and throughout Scotland and other parts of the United Kingdom.,e60df794-9c98-4a8e-a884-94a284d229be,,,SalesforcePublic,1.77268E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/c68b21a4-ecda-40b6-8d09-7b517c03efe7-1675786005,be1c68913c0fd2c5893d73544fd9e1c705b2373c
Rouse Partners LLP,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000Jh5ZIAS,Details coming soon,496af2f9-de4a-475c-a3c7-05b0fe1801b5,,,SalesforcePublic,1.77556E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/8eccc6e8-00ae-4550-aac8-b007a7ff4902-1492612224,2d3ce34be070347de37cd4c95edd83d6ad551cb0
Gerald Thomas,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000Jf8tIAC,Gerald Thomas are an established firm of United Kingdom Chartered Accountants and Business Advisers based in Swansea servicing clients throughout the whole of South Wales.,dbb90a21-600b-4b5e-842c-86c02194087c,,,SalesforcePublic,1.77268E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/54529e20-708e-4be1-8afb-3a57035f7669-1538732189,987a8ec00c3b6bccf0f21efded0083ef40b96bfd
AccounTax Zone Limited,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JfCZIA0,We offer a comprehensive virtual finance function tailored specifically to meet the unique needs of small and medium sized business owners in the United Kingdom.,1d582c3c-2b8c-41a8-aa6e-e7656dcc2b84,,,SalesforcePublic,1.77268E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/826c95cd-86c2-4ec2-a405-ed102f1cda42-1696857089,09bdb65e6dced18923400a7d83200227a53fd316
Unity Accountancy,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JTkfIAG,"Unity Accountancy Llanelli provides a wide range of accountancy services including tax returns, annual accounts, payroll and bookkeeping.",76cb6fa5-7dc4-4844-b58c-69f443d2165a,,,SalesforcePublic,1.77556E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/abe447a2-0258-49c7-9c3d-91a34450211c-1746570817,39b016b37d9e15d17149ea636ab10b5eeb0a2acf
PIE Accountancy,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000Jg0oIAC,"We’re human, we’re direct and, above all, we care. We’re here to work with you and get your business ready for anything.",71d504b1-2abc-4236-868c-6eaf0474cc05,,,SalesforcePublic,1.77555E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/8bbc083c-f2dd-4994-baa6-bb76effcd1db-1660836229,f08155f2e858a59cbb4ac19dbbb6ccb67f03e4eb
